,generation,mimo,cqi,modulation,coding rate,spectral efficiency,sinr
0,3G,1x1,NA,NA,78,0.15,-6.7
1,3G,1x1,NA,NA,120,0.23,-4.7
2,3G,1x1,NA,NA,193,0.37,-2.3
3,3G,1x1,NA,NA,308,0.6,0.2
4,3G,1x1,NA,NA,449,0.8,2.4
5,3G,1x1,NA,NA,602,1.1,4.3
6,3G,1x1,NA,NA,378,1.4,5.9
7,3G,1x1,NA,NA,490,1.9,8.1
8,3G,1x1,NA,NA,616,2.4,10.3
9,3G,1x1,NA,NA,466,2.7,11.7
10,3G,1x1,NA,NA,567,3.3,14.1
11,3G,1x1,NA,NA,666,3.9,16.3
12,3G,1x1,NA,NA,772,4.5,18.7
13,3G,1x1,NA,NA,973,5.1,21.0
14,3G,1x1,NA,NA,948,5.5,22.7
15,4G,2x2,1,QPSK,78,0.3,-6.7
16,4G,2x2,2,QPSK,120,0.46,-4.7
17,4G,2x2,3,QPSK,193,0.74,-2.3
18,4G,2x2,4,QPSK,308,1.2,0.2
19,4G,2x2,5,QPSK,449,1.6,2.4
20,4G,2x2,6,QPSK,602,2.2,4.3
21,4G,2x2,7,16QAM,378,2.8,5.9
22,4G,2x2,8,16QAM,490,3.8,8.1
23,4G,2x2,9,16QAM,616,4.8,10.3
24,4G,2x2,10,64QAM,466,5.4,11.7
25,4G,2x2,11,64QAM,567,6.6,14.1
26,4G,2x2,12,64QAM,666,7.8,16.3
27,4G,2x2,13,64QAM,772,9.0,18.7
28,4G,2x2,14,64QAM,973,10.2,21.0
29,4G,2x2,15,64QAM,948,11.4,22.7
30,5G,4x4,1,QPSK,78,0.15,-6.7
31,5G,4x4,2,QPSK,193,1.02,-4.7
32,5G,4x4,3,QPSK,449,2.21,-2.3
33,5G,4x4,4,16QAM,378,3.2,0.2
34,5G,4x4,5,16QAM,490,4.0,2.4
35,5G,4x4,6,16QAM,616,5.41,4.3
36,5G,4x4,7,64QAM,466,6.2,5.9
37,5G,4x4,8,64QAM,567,8.0,8.1
38,5G,4x4,9,64QAM,666,9.5,10.3
39,5G,4x4,10,64QAM,772,11.0,11.7
40,5G,4x4,11,64QAM,873,14.0,14.1
41,5G,4x4,12,256QAM,711,16.0,16.3
42,5G,4x4,13,256QAM,797,19.0,18.7
43,5G,4x4,14,256QAM,885,22.0,21.0
44,5G,4x4,15,256QAM,948,25.0,22.7
